incident_id,individual_charge,date,time,narrative,pdf,multiple_suspects
210105000010,traffic - dui alcohol or drugs,1/5/21,21:06,"R/O responded to a traffic accident at First Street and Maryland Avenue, SW, where the Suspect struck a barrier. Upon approaching the vehicle, R/O-2 observed an open container of alcohol in the front passenger seat. SFSTs were conducted and, due to numerous signs of impairment, the Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210105000010,possession of open container of alcohol,1/5/21,21:06,"R/O responded to a traffic accident at First Street and Maryland Avenue, SW, where the Suspect struck a barrier. Upon approaching the vehicle, R/O-2 observed an open container of alcohol in the front passenger seat. SFSTs were conducted and, due to numerous signs of impairment, the Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210104000005,unlawful entry - misdemeanor,1/4/21,12:45,"R/O was on post at the Northwest Door of the Cannon House Office Building when an individual attempted to gain entry. R/O advised the Suspect that access to the building was prohibited to the general public due to the ongoing COVID-19 pandemic. The Suspect refused to leave. While attempting to handcuff the Suspect, they became limp and refused to place their hands behind their back. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210104000005,resisting arrest,1/4/21,12:45,"R/O was on post at the Northwest Door of the Cannon House Office Building when an individual attempted to gain entry. R/O advised the Suspect that access to the building was prohibited to the general public due to the ongoing COVID-19 pandemic. The Suspect refused to leave. While attempting to handcuff the Suspect, they became limp and refused to place their hands behind their back. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210104000005,unlawful entry - misdemeanor,1/4/21,12:45,"R/O was on post at the Northwest Door of the Cannon House Office Building when an individual attempted to gain entry. R/O advised the Suspect that access to the building was prohibited to the general public due to the ongoing COVID-19 pandemic. The Suspect refused to leave. While attempting to handcuff the Suspect, they became limp and refused to place their hands behind their back. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210104000004,assault - simple - misdemeanor,1/4/21,11:06,"R/O was on post at Washington Avenue and First Street, SW, when he observed two individuals on the scaffolding above arguing and holding on to each other. CIS responded to the scene. The Suspect admitted to punching and kicking the Complainant several times. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210103000003,traffic - dui alcohol or drugs,1/3/21,4:51,"R/O observed a vehicle parked on the sidewalk at the intersection of First and D Streets, NE. Upon approach, R/O observed the Suspect standing next to the driver's side door of the vehicle. While speaking with the Suspect, R/O observed signs of impairment. A WALES/NCIC check of the Suspect's District of Columbia license revealed their permit was suspended. SFSTs were conducted and, due to numerous signs of impairment, the Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210103000003,traffic - permit-operating after suspension,1/3/21,4:51,"R/O observed a vehicle parked on the sidewalk at the intersection of First and D Streets, NE. Upon approach, R/O observed the Suspect standing next to the driver's side door of the vehicle. While speaking with the Suspect, R/O observed signs of impairment. A WALES/NCIC check of the Suspect's District of Columbia license revealed their permit was suspended. SFSTs were conducted and, due to numerous signs of impairment, the Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
210102000002,fugitive from justice,1/2/21,18:56,"R/O responded to Second Street and Independence Avenue, SE, for a subject requesting assistance. A WALES/NCIC check of the Suspect's identification revealed an active warrant through the Fredericksburg Police Department. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-31-20_1-6-21.pdf,FALSE
201228001455,assault on a police officer - misdemeanor,12/28/20,11:24,"R/O was on post outside of the Northwest Door of the Dirksen Senate Office Building when he was approached by an individual. The Suspect spat at R/O and made threatening statements and stabbing gestures toward the Officer. The Suspect then threw a lit lighter at R/O and fled the scene. The Suspect was apprehended by responding units at the intersection of Fourth Street and Maryland Avenue, NE. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-23-20_12-30-20.pdf,FALSE
201228001455,threats to do bodily harm - felony,12/28/20,11:24,"R/O was on post outside of the Northwest Door of the Dirksen Senate Office Building when he was approached by an individual. The Suspect spat at R/O and made threatening statements and stabbing gestures toward the Officer. The Suspect then threw a lit lighter at R/O and fled the scene. The Suspect was apprehended by responding units at the intersection of Fourth Street and Maryland Avenue, NE. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-23-20_12-30-20.pdf,FALSE
201224001449,unlawful entry - misdemeanor,12/24/20,16:00,"R/O responded to the 100 block of Independence Avenue, SW, for a report of an unauthorized individual attempting to gain access to the U.S. Botanic Garden. R/O observed the Suspect inside the loading dock area and conducted a stop. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-23-20_12-30-20.pdf,FALSE
201224001449,unlawful entry - misdemeanor,12/24/20,16:00,"R/O responded to the 100 block of Independence Avenue, SW, for a report of an unauthorized individual attempting to gain access to the U.S. Botanic Garden. R/O observed the Suspect inside the loading dock area and conducted a stop. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-23-20_12-30-20.pdf,FALSE
201222001445,unlawful entry - misdemeanor,12/22/20,7:01,"R/O responded to the West Front of the U.S. Capitol Building for a report of an individual who climbed over a fence marked with ""Area Closed"" signs, and was observed walking inside the restricted perimeter adjacent to Peace Circle. R/O located the Suspect in the restricted area. The Suspect was placed under arrest and transported to USCP Headquarters for processing.",Arrest%20Summary%2012-23-20_12-30-20.pdf,FALSE
201221001437,unlawful entry - misdemeanor,12/21/20,9:57,"R/O responded to the West Front of the U.S. Capitol Building where a Suspect was observed climbing the fence with marked ""Area Closed"" signs and walking inside the restricted perimeter adjacent to Peace Circle. The Suspect was placed under arrest and transported to Headquarters for processing.",Arrest%20Summary%2012-17-20_12-22-20.pdf,FALSE
201214001413,unlawful entry - misdemeanor,12/14/20,7:15,R/O was on post at the South Door of the U.S. Capitol Building when he observed an individual entering a restricted area. R/O advised the Suspect that entry was prohibited to the general public. The Suspect refused to leave and became combative. The Suspect was placed under arrest and transported to Headquarters for processing.,Arrest%20Summary%2012-10-20_12-16-20.pdf,FALSE
